key	title	url
173	Learning Variable Impedance Control via Inverse Reinforcement Learning for Force-Related Tasks	https://doi.org/10.1109/LRA.2021.3061374
wu2021framework	A Framework for Autonomous Impedance Regulation of Robots Based on Imitation Learning and Optimal Control	https://doi.org/10.1109/LRA.2020.3033260
zhang2023neural	A neural network based framework for variable impedance skills learning from demonstrations	
76	Q-Learning-based model predictive variable impedance control for physical human-robot collaboration	
99	Motion planner augmented reinforcement learning for robot manipulation in obstructed environments	
186	Making sense of vision and touch: Learning multimodal representations for contact-rich tasks	
236	End-to-end reinforcement learning for torque based variable height hopping	
184	Learning robotic assembly tasks with lower dimensional systems by leveraging physical softness and environmental constraints	
levine2014learning	Learning neural network policies with guided policy search under unknown dynamics	
104	Variable compliance control for robotic peg-in-hole assembly: A deep-reinforcement-learning approach	
96	Learning force control for contact-rich manipulation tasks with rigid position-controlled robots	
27	Robotic imitation of human assembly skills using hybrid trajectory and force learning	
30	Fuzzy logic-driven variable time-scale prediction-based reinforcement learning for robotic multiple peg-in-hole assembly	
72	Multiple peg-in-hole compliant assembly based on a learning-accelerated deep deterministic policy gradient strategy	
jiang2020state	State-of-the-Art control strategies for robotic PiH assembly	
368	EquiContact: A Hierarchical SE (3) Vision-to-Force Equivariant Policy for Spatially Generalizable Contact-rich Tasks	https://arxiv.org/abs/2507.10961
369	SAFE: Multitask Failure Detection for Vision-Language-Action Models	https://arxiv.org/abs/2506.09937
372	Isaac Lab: A GPU-Accelerated Simulation Framework for Multi-Modal Robot Learning	https://arxiv.org/abs/2511.04831
mittal2023orbit	Orbit: A Unified Simulation Framework for Interactive Robot Learning Environments	https://doi.org/10.1109/LRA.2023.3270034
67	A flexible manufacturing assembly system with deep reinforcement learning	
371	Flow with the Force Field: Learning 3D Compliant Flow Matching Policies from Force and Demonstration-Guided Simulation Data	https://arxiv.org/abs/2510.02738
179	Robust multi-modal policies for industrial assembly via reinforcement learning and demonstrations: A large-scale study	https://arxiv.org/abs/2103.11512
193	Deep reinforcement learning for robotic assembly of mixed deformable and rigid objects	
87	Learning contact-rich assembly skills using residual admittance policy	
85	Insertionnet-a scalable solution for insertion	
43	Generalize by touching: Tactile ensemble skill transfer for robotic furniture assembly	
ISO15066	Robots and robotic devices — Collaborative robots	https://www.iso.org/standard/62996.html
salimpour2025towards	Towards embodied agentic ai: Review and classification of llm-and vlm-driven robot autonomy and interaction	https://arxiv.org/abs/2508.05294
45	Handling long-term safety and uncertainty in safe reinforcement learning	https://arxiv.org/abs/2409.12045
47	Learning with skill-based robot systems: Combining planning \& knowledge representation with reinforcement learning	
31	Hierarchical Learning Based on Visual-Haptic Perception for Robotic Variable Impedance Control	
12	Learning Diffusion Policies from Demonstrations For Compliant Contact-rich Manipulation	https://arxiv.org/abs/2410.19235
6	Adaptive Compliance Policy: Learning Approximate Compliance for Diffusion Guided Control	https://arxiv.org/abs/2410.09309
1	CHEQ-ing the Box: Safe Variable Impedance Learning for Robotic Polishing	https://arxiv.org/abs/2501.07985
2	Deep reinforcement learning-based variable impedance control for grinding workpieces with complex geometry	
89	Model-free adaptive impedance control for autonomous robotic sanding	
80	Safe online gain optimization for cartesian space variable impedance control	
73	Online optimization method of controller parameters for robot constant force grinding based on deep reinforcement learning rainbow	
191	Online learning of feed-forward models for task-space variable impedance control	
92	Uncertainty-aware contact-safe model-based reinforcement learning	
35	A Passivity-Based Variable Impedance Controller for Incremental Learning of Periodic Interactive Tasks	
46	Learning variable impedance control for robotic massage with deep reinforcement learning: A novel learning framework	
khalil2002nonlinear	Nonlinear systems	
16	An actor-critic learning framework based on Lyapunov stability for automatic assembly	
32	Impedance Learning-based Adaptive Force Tracking for Robot on Unknown Terrains	
17	Impedance learning for human-guided robots in contact with unknown environments	
10	Forge: Force-guided exploration for robust contact-rich manipulation under uncertainty	https://arxiv.org/abs/2408.04587
90	Neural networks enhanced optimal admittance control of robot--environment interaction using reinforcement learning	
59	Composite learning variable impedance robot control with stability and passivity guarantees	
65	State-wise safe reinforcement learning with pixel observations	
234	Allowing safe contact in robotic goal-reaching: Planning and tracking in operational and null spaces	
24	Impedance learning-based adaptive control for human--robot interaction	
54	A human-centered safe robot reinforcement learning framework with interactive behaviors	
23	Variable impedance skill learning for contact-rich manipulation	
5	A learning control strategy for robot-assisted bathing via impedance sliding mode technique with non-repetitive tasks	
9	Force-constrained visual policy: Safe robot-assisted dressing via multi-modal sensing	
57	Adaptive Safety-Critical Control With Uncertainty Estimation for Human--Robot Collaboration	
19	Research on Robot Massage Force Control Based on Residual Reinforcement Learning	
todorov2012mujoco	Mujoco: A physics engine for model-based control	
zakka2025mujoco	Mujoco playground	https://arxiv.org/abs/2502.08844
coumans2016pybullet	Pybullet, a python module for physics simulation for games, robotics and machine learning.(2016)	
mower2023ros	ROS-PyBullet Interface: A framework for reliable contact simulation and human-robot interaction	
berrocal2024evaluating	Evaluating PyBullet and Isaac Sim in the scope of robotics and reinforcement learning	
354	Multi-modal autonomous ultrasound scanning for efficient human--machine fusion interaction	
tedrake2014drake	Drake: A planning, control, and analysis toolbox for nonlinear dynamical systems	
21	Safe data-driven model predictive control of systems with complex dynamics	
